BLK 	%Li6	#neutr	#trit	TBR
HCPB	10  	1000	1004	1.004
HCPB	10  	1000	1018	1.018
WCLL	10  	1000	1316	1.316
WCLL	10  	1000	1338	1.338
HCPB	7.5  	1000	968	0.968
HCPB	7.5  	1000	933	0.933
WCLL	50  	1000	1413	1.413
WCLL	50  	1000	1380	1.38
WCLL	14.5  	1000	1358	1.358
WCLL	14.5  	1000	1401	1.401
WCLL	50  	1000	1413	1.413
WCLL	50  	1000	1380	1.38
HCPB	7.5  	50000	42020	0.8404
HCPB	7.5  	50000	42234	0.84468
HCPB	50  	50000	50576	1.01152
HCPB	50  	50000	50334	1.00668
HCPB	100  	50000	52754	1.05508
HCPB	100  	50000	52767	1.05534
HCPB	1  	10000	6096	0.6096
